station,group_by,bucket,pair,method,correlation
sede-central_finca-3,season,dry,pressure-luminous_intensity,pearson,0.16928575278298078
sede-central_finca-3,season,dry,precipitation-luminous_intensity,spearman,0.0017495687912674684
sede-central_finca-3,season,wet,pressure-precipitation,spearman,-0.020361359898739436
sede-central_finca-3,season,wet,pressure-luminous_intensity,pearson,0.09622944111674969
sede-central_finca-3,season,wet,precipitation-luminous_intensity,spearman,-0.03922958049124611
sede-central_losic-norte-1,hour,day,pressure-precipitation,spearman,-0.02355577879960777
sede-central_losic-norte-1,hour,day,pressure-luminous_intensity,pearson,0.24479079599002884
sede-central_losic-norte-1,hour,day,precipitation-luminous_intensity,spearman,-0.20591513495873828
sede-central_losic-norte-1,hour,night,pressure-precipitation,spearman,0.07849956133583373
sede-central_losic-norte-1,hour,night,pressure-luminous_intensity,pearson,-0.028988287804206016
sede-central_losic-norte-1,hour,night,precipitation-luminous_intensity,spearman,-0.017166356642309154
sede-central_losic-norte-1,season,dry,pressure-precipitation,spearman,-0.02328456186456222
sede-central_losic-norte-1,season,dry,pressure-luminous_intensity,pearson,0.16594306661129832
sede-central_losic-norte-1,season,dry,precipitation-luminous_intensity,spearman,0.008798919443547562
sede-central_losic-norte-1,season,wet,pressure-precipitation,spearman,0.030994377803998913
sede-central_losic-norte-1,season,wet,pressure-luminous_intensity,pearson,0.06874841949714763
sede-central_losic-norte-1,season,wet,precipitation-luminous_intensity,spearman,-0.056308733231785105
sede-central_losic-norte-2,hour,day,pressure-precipitation,spearman,-0.06765959839753174
sede-central_losic-norte-2,hour,day,pressure-luminous_intensity,pearson,-0.05998203984224199
sede-central_losic-norte-2,hour,day,precipitation-luminous_intensity,spearman,-0.19460213475174656
sede-central_losic-norte-2,hour,night,pressure-precipitation,spearman,-0.056913107191548025
sede-central_losic-norte-2,hour,night,pressure-luminous_intensity,pearson,0.02332071387689018
sede-central_losic-norte-2,hour,night,precipitation-luminous_intensity,spearman,-0.006599087279488101
sede-central_losic-norte-2,season,dry,pressure-precipitation,spearman,0.04500688577906507
sede-central_losic-norte-2,season,dry,pressure-luminous_intensity,pearson,-0.08132668324942152
sede-central_losic-norte-2,season,dry,precipitation-luminous_intensity,spearman,-0.0033123680992009664
sede-central_losic-norte-2,season,wet,pressure-precipitation,spearman,-0.057502499165547165
sede-central_losic-norte-2,season,wet,pressure-luminous_intensity,pearson,0.03563073553138497
sede-central_losic-norte-2,season,wet,precipitation-luminous_intensity,spearman,0.018993597886409468
sede-central_sabanilla,hour,day,pressure-precipitation,spearman,-0.017191079315205266
sede-central_sabanilla,hour,day,pressure-luminous_intensity,pearson,0.15244754258980647
sede-central_sabanilla,hour,day,precipitation-luminous_intensity,spearman,-0.23811450523291744
sede-central_sabanilla,hour,night,pressure-precipitation,spearman,0.09218207741486464
sede-central_sabanilla,hour,night,pressure-luminous_intensity,pearson,-0.03196614628183343
sede-central_sabanilla,hour,night,precipitation-luminous_intensity,spearman,-0.005861806982063991
sede-central_sabanilla,season,dry,pressure-precipitation,spearman,0.11418970943017552
sede-central_sabanilla,season,dry,pressure-luminous_intensity,pearson,0.09246396535697808
sede-central_sabanilla,season,dry,precipitation-luminous_intensity,spearman,0.06863477403612935
sede-central_sabanilla,season,wet,pressure-precipitation,spearman,0.026046905983626155
sede-central_sabanilla,season,wet,pressure-luminous_intensity,pearson,0.06969937920728099
sede-central_sabanilla,season,wet,precipitation-luminous_intensity,spearman,-0.03275091688574098
sede-guanacaste_liberia,hour,day,pressure-precipitation,spearman,0.00933996043231041
sede-guanacaste_liberia,hour,day,pressure-luminous_intensity,pearson,0.10037300096730448
sede-guanacaste_liberia,hour,day,precipitation-luminous_intensity,spearman,-0.10357098218140245
sede-guanacaste_liberia,hour,night,pressure-precipitation,spearman,0.046864719007749106
sede-guanacaste_liberia,hour,night,pressure-luminous_intensity,pearson,-0.021801906507277546
sede-guanacaste_liberia,hour,night,precipitation-luminous_intensity,spearman,-0.02894413100820229
sede-guanacaste_liberia,season,dry,pressure-precipitation,spearman,-0.041303639696733875
sede-guanacaste_liberia,season,dry,pressure-luminous_intensity,pearson,0.057012494918061804
sede-guanacaste_liberia,season,dry,precipitation-luminous_intensity,spearman,-0.03023803217994487
sede-guanacaste_liberia,season,wet,pressure-precipitation,spearman,0.07161779458495442
sede-guanacaste_liberia,season,wet,pressure-luminous_intensity,pearson,-0.056480209540884986
sede-guanacaste_liberia,season,wet,precipitation-luminous_intensity,spearman,-0.05373984974649473
sede-sur_golfito,hour,day,pressure-precipitation,spearman,-0.025779728818971833
sede-sur_golfito,hour,day,pressure-luminous_intensity,pearson,0.1046909037288483
sede-sur_golfito,hour,day,precipitation-luminous_intensity,spearman,-0.262635844300212
sede-sur_golfito,hour,night,pressure-precipitation,spearman,0.1275161632433857
sede-sur_golfito,hour,night,pressure-luminous_intensity,pearson,-0.035207991469279984
sede-sur_golfito,hour,night,precipitation-luminous_intensity,spearman,-0.050635578630548524
sede-sur_golfito,season,dry,pressure-precipitation,spearman,0.003383331573245919
sede-sur_golfito,season,dry,pressure-luminous_intensity,pearson,0.042841401311603834
sede-sur_golfito,season,dry,precipitation-luminous_intensity,spearman,-0.07373429806996938
sede-sur_golfito,season,wet,pressure-precipitation,spearman,0.07056057522323486
sede-sur_golfito,season,wet,pressure-luminous_intensity,pearson,0.11450416332883694
sede-sur_golfito,season,wet,precipitation-luminous_intensity,spearman,-0.07716243142490974
